Course Name,Description,Rate,Instructor,Price,Total Hours,lectures,Level,Number Of Rated Users,Bestseller,Original Price,Price Value,Price Currency
Complete C# Masterclass,"Learn C# Programming - WPF, Databases, Linq, Collections, Game Development with Unity. Unit Testing TDD",4.6,"Instructors:
Denis Panjuta, Tutorials.eu by Denis Panjuta",E£199.99,45.5,392,All Levels,,,E£999.99,199.99,E£
Ultimate C# Masterclass for 2024,"In-depth .NET programming course from basics to advanced. Focus on clean code, performance and practice.",4.7,"Instructor:
Krystyna Ślusarczyk",E£199.99,43,505,All Levels,,Bestseller,E£999.99,199.99,E£
C# 10 | Ultimate Guide - Beginner to Advanced | Master class,Learn C# by doing | C# projects | Bootcamp for C# Interview | Advanced C# | Collections | LINQ | Interview Questions,4.6,"Instructor:
Web University by Harsha Vardhan",E£199.99,74,426,All Levels,,,E£999.99,199.99,E£
C# Basics for Beginners: Learn C# Fundamentals by Coding,"Master C# fundamentals in 6 hours - The most popular course with 50,000+ students, packed with tips and exercises!",4.5,"Instructor:
Mosh Hamedani",E£419.99,5.5,87,Beginner,,,"E£1,699.99",419.99,E£
C# .NET Core 8 with MS SQL Complete Beginner to Master 2023,"Learn API Development with C# .NET Core 8 and MS SQL Server from Mac, Linux or Windows!",4.6,"Instructor:
Dominic Tripodi",E£199.99,23,121,All Levels,,,E£999.99,199.99,E£
Complete C# Programming Course – Beginner to Expert,"Learn Professional C# Coding! 27 Hours of Content, 7 Hands-On Projects, 2 Unity 3D Games, 16 Coding Exercises, and more!",4.3,"Instructor:
Robert Gioia",E£199.99,27,550,All Levels,,,E£999.99,199.99,E£
Complete C# Unity Game Developer 2D,"Learn Unity in C# & Code Your First Five 2D Video Games for Web, Mac & PC. The Tutorials Cover Tilemap",4.7,"Instructors:
GameDev.tv Team, Rick Davidson, Gary Pettie",E£419.99,18.5,140,All Levels,,Bestseller,"E£1,699.99",419.99,E£
"C# Intermediate: Classes, Interfaces and OOP","An in-depth, step-by-step guide to classes, interfaces and object-oriented programming (OOP) with C#",4.5,"Instructor:
Mosh Hamedani",E£199.99,6,45,Intermediate,,Bestseller,E£999.99,199.99,E£
C# Advanced Topics: Prepare for Technical Interviews,"Master the confusing C# constructs: Events, Delegates, Lambda Expressions, LINQ, Async/Await and more!",4.5,"Instructor:
Mosh Hamedani",E£199.99,3,21,Intermediate,,,E£849.99,199.99,E£
Design Patterns in C# and .NET,Discover the modern implementation of design patterns with C# and .NET,4.4,"Instructor:
Dmitri Nesteruk",E£199.99,20.5,173,Intermediate,,Bestseller,E£999.99,199.99,E£
Complete C# Unity Game Developer 3D,"Design & Develop Video Games. Learn C# in Unity Engine. Code Your first 3D Unity games for web, Mac & PC.",4.7,"Instructors:
Ben Tristem, Rick Davidson, GameDev.tv Team, Gary Pettie",E£199.99,30.5,205,All Levels,,Bestseller,E£999.99,199.99,E£
Learn C# for Beginners Crash Course,Obtain C# Programming Language Skills With This C# Tutorial. Acquire Essentials Skills To Get a C# Developer Job Today.,4.7,"Instructors:
Tim Buchalka, Jean-Paul Roberts, Tim Buchalka's Learn Programming Academy",E£269.99,13,157,Beginner,,,"E£1,299.99",269.99,E£
LINQ Tutorial: Master the Key C# Library,Learn every method from LINQ by practice. Lots of coding exercises! Become fluent in the most useful .NET library.,4.8,"Instructor:
Krystyna Ślusarczyk",E£229.99,6,150,All Levels,,Bestseller,"E£1,199.99",229.99,E£
Beginning Object-oriented Programming with C#,Learn OOP fundamentals applied to the C# programming language,4.6,"Instructor:
Zoran Horvat",E£199.99,7,91,Beginner,,,E£849.99,199.99,E£
C#/.NET - 50 Essential Interview Questions (Junior Level),"Get ready for your next interview. An in-depth guide to C# fundamentals, SOLID principles and popular design patterns.",4.8,"Instructor:
Krystyna Ślusarczyk",E£199.99,6.5,57,All Levels,,,E£999.99,199.99,E£
Advanced Topics in C#,A discussion of the more complicated aspects of the C# language,4.4,"Instructor:
Dmitri Nesteruk",E£199.99,5,45,Expert,,,E£629.99,199.99,E£
Programming in C# 11 - From Beginner to Advanced,Learn C# to develop applications!,4.5,"Instructor:
Felipe Gavilán",E£199.99,18.5,293,Beginner,,,E£649.99,199.99,E£
C# in 6 Hours: From Beginner to Pro!,Master the Fundamentals and Level Up Your C# Programming Skills Quickly and Easily!,4.7,"Instructor:
Patrick Videos",E£199.99,7,85,Beginner,,,E£849.99,199.99,E£
Learn C# Programming (In Ten Easy Steps),The simplest way to learn C# programming.,4.5,"Instructor:
Huw Collingbourne",E£199.99,7.5,127,Beginner,,,E£849.99,199.99,E£
C# Programming for Beginners : The First Steps,Introducing Beginners To Programming Windows Form Apps In C# Using A Practical Applications Approach,4.7,"Instructor:
Charlie Chiarelli",E£199.99,18,172,Beginner,,Bestseller,E£799.99,199.99,E£
C# Advanced Concepts,"Learn the Fundamentals of C# Programming, Become a C# Developer from Scratch, Complete Guide to C# Programming",4.4,"Instructor:
Sandeep Soni",E£549.99,50.5,98,Beginner,,,E£749.99,549.99,E£
.NET/ C# Interview Masterclass - Top 500 Questions & Answers,Topics Covered - C# / OOPS / ASP.NET MVC / ADO NET / EF / SQL Server / Web API / .NET Core (with PDF Book),4.7,"Instructor:
Happy Rawat",E£219.99,8.5,301,All Levels,,Bestseller,E£999.99,219.99,E£
C# Intermediate Programming : The First Steps,A Great Way To Extend Your C# Beginner Skills By Solving More Advanced Real World Problems Using Windows Form Apps,4.4,"Instructor:
Charlie Chiarelli",E£199.99,31,226,Intermediate,,,E£269.99,199.99,E£
Learn C# By Building Applications,Learn practical C# with step-by-step approach and building applications to move from C# beginner to C# intermediate.,4.6,"Instructor:
Avetis Ghukasyan",E£199.99,13.5,101,All Levels,,,E£999.99,199.99,E£
C# Performance Tricks: How To Radically Speed Up Your Code.,This course will help you speed up your C# code and provides many tricks that every professional developer must know.,4.5,"Instructor:
Mark Farragher",E£269.99,4.5,38,All Levels,,,"E£1,299.99",269.99,E£
